epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.157,2.23411,2.35964,1.92202,0.6162,0.46318,0.46935,0.14279,nan,nan,nan,0.00303755,0.00299884,0.00299884
2,1166.02,2.14121,2.09213,1.80596,0.63316,0.49327,0.50646,0.15986,nan,nan,nan,0.00299707,0.00299707,0.00299707
3,1768.62,2.08013,1.94831,1.74189,0.67484,0.53214,0.56674,0.18437,nan,nan,nan,0.00298829,0.00298829,0.00298829
4,2384.96,2.07037,1.92752,1.74029,0.70149,0.52566,0.58372,0.1938,nan,nan,nan,0.0029737,0.0029737,0.0029737
5,2997.82,2.03726,1.8886,1.70564,0.69566,0.58541,0.62587,0.22079,nan,nan,nan,0.00295335,0.00295335,0.00295335
6,3603,2.01916,1.86988,1.70874,0.73268,0.56901,0.62535,0.22388,nan,nan,nan,0.00292732,0.00292732,0.00292732
7,4201.62,2.00659,1.80405,1.6928,0.73514,0.5999,0.65851,0.24618,nan,nan,nan,0.00289572,0.00289572,0.00289572
8,4806.5,1.9539,1.77948,1.67691,0.70765,0.60423,0.59279,0.20874,nan,nan,nan,0.00285867,0.00285867,0.00285867
9,5414.48,1.96585,1.73925,1.65589,0.67322,0.64076,0.57813,0.21028,nan,nan,nan,0.00281632,0.00281632,0.00281632
10,6032.61,1.9644,1.75497,1.68801,0.63455,0.64076,0.53208,0.19086,nan,nan,nan,0.00276883,0.00276883,0.00276883
11,6646.41,1.95817,1.72214,1.65835,0.63107,0.62681,0.53674,0.1954,nan,nan,nan,0.00271639,0.00271639,0.00271639
12,7263.8,1.95234,1.73231,1.64365,0.66567,0.6577,0.55375,0.19033,nan,nan,nan,0.00265921,0.00265921,0.00265921
13,7878.79,1.96658,1.68806,1.65021,0.61625,0.63229,0.5005,0.17379,nan,nan,nan,0.00259752,0.00259752,0.00259752
14,8493.97,1.94075,1.64719,1.66191,0.62766,0.63229,0.51798,0.1802,nan,nan,nan,0.00253155,0.00253155,0.00253155
15,9109.47,1.92907,1.68635,1.62806,0.60165,0.66517,0.49437,0.17576,nan,nan,nan,0.00246157,0.00246157,0.00246157
16,9726.29,1.91854,1.60906,1.6297,0.64752,0.64713,0.53876,0.2059,nan,nan,nan,0.00238786,0.00238786,0.00238786
17,10343.6,1.91262,1.62289,1.5781,0.63042,0.65273,0.52619,0.20036,nan,nan,nan,0.0023107,0.0023107,0.0023107
18,10961.2,1.87999,1.65386,1.61008,0.63242,0.6871,0.53429,0.18748,nan,nan,nan,0.0022304,0.0022304,0.0022304
19,11576.2,1.94661,1.60573,1.64728,0.67386,0.68759,0.58056,0.22045,nan,nan,nan,0.00214728,0.00214728,0.00214728
20,12190.9,1.90787,1.58706,1.61756,0.66248,0.66119,0.55004,0.20841,nan,nan,nan,0.00206166,0.00206166,0.00206166
21,12814.5,1.89362,1.56871,1.59896,0.67882,0.69407,0.58786,0.22115,nan,nan,nan,0.00197389,0.00197389,0.00197389
22,13439.7,1.90252,1.56128,1.58701,0.66719,0.6861,0.57024,0.21508,nan,nan,nan,0.0018843,0.0018843,0.0018843
